16847 | 咖啡豆 | CoFeel 凱飛鮮烘豆谷王巴非特調阿拉比卡中烘焙咖啡豆一磅 | 巴西+非洲 | NT799
16846 | 咖啡豆 | CoFeel 凱飛鮮烘豆谷王巴非特調阿拉比卡中烘焙咖啡豆半磅 | 巴西+非洲 | NT449
16683 | 濾掛咖啡 | CoFeel 凱飛鮮烘豆耶加雪夫單品濾掛咖啡/耳掛咖啡包10g x 40包量販袋 | 衣索比亞 | NT890
16682 | 濾掛咖啡 | CoFeel 凱飛鮮烘豆黃金曼特寧單品濾掛咖啡/耳掛咖啡包10g x 40包量販袋 | 印尼 | NT890
16670 | 濾掛咖啡 | CoFeel 凱飛鮮烘豆巴西雨林風情單品阿拉比卡濾掛咖啡/耳掛咖啡包10gx20包 | 巴西 | NT580
16669 | 咖啡豆 | CoFeel 凱飛鮮烘豆濃香特調義式咖啡豆一磅 | 台灣 | NT690
16636 | 咖啡豆 | CoFeel 凱飛鮮烘豆半磅咖啡豆特惠組+台灣製玻璃咖啡悶蒸沖泡壺400cc | 台灣 | NT550
16605 | 器具配件 | CoFeel凱飛 嚴選日本製針葉樹手沖濾紙錐形濾紙500張(2-4人) | 日本 | NT649
16603 | 咖啡豆 | CoFeel 凱飛鮮烘豆衣索比亞耶加雪菲孔加G1淺烘焙咖啡豆一磅 | 衣索比亞 | NT799
16597 | 咖啡豆 | CoFeel 凱飛鮮烘豆衣索比亞耶加雪菲孔加G1淺烘焙咖啡豆半磅 | 衣索比亞 | NT449
16591 | 濾掛咖啡 | CoFeel 凱飛馬拉威酒香厭氧發酵日曬藝妓/瑰夏濾掛咖啡/耳掛咖啡包10gx8包 | 馬拉威 | NT499
16546 | 器具配件 | CoFeeL凱飛智能熱風咖啡烘豆機/商用烘豆機/自動咖啡烘豆機 | 中國 | NT688000
16496 | 咖啡豆 | CoFeel 凱飛鮮烘豆特調黃金曼巴中深烘焙咖啡豆一磅 | 印尼/巴西 | NT698
16495 | 咖啡豆 | CoFeel 凱飛鮮烘豆衣索比亞古吉烏拉嘎水洗一級淺中烘焙咖啡豆一磅 | 衣索比亞 | NT799
